A109,SABCA A-109
A119,DENEL Koala
A139,BELL-AGUSTA AB-139
A20N,Airbus A320neo
A21N,Airbus A321neo
A306,Airbus A300F4-600
A30B,Airbus A300F4-200
A310,Airbus A310
A318,Airbus A318
A319,Airbus A319
A320,Airbus A320
A321,Airbus A321
A330,Airbus A330
A332,Airbus A330-200
A333,Airbus A330-300
A339,AIRBUS A-330-900
A343,Airbus A340-300
A346,Airbus A340-600
A359,Airbus A350-900
A35K,Airbus A350-1000
A388,Airbus A380-800
A3ST,SATIC Super Transporter
A748,Hawker Siddeley HS-748
AA1,Grumman Tr2
AA5,Grumman AA-5 Tiger
AC11,Rockwell Commander 114
AC50,Aero Commander 500
AC95,Gulfstream Aerospace Jetprop Commander
AEST,Piper Aerostar
AJ27,COMAC ARJ-21-700 Xiangfeng
AR15,AERONCA Sedan
AS50,Eurocopter AS-350 AStar
ASTR,IAI Gulfstream G100
AT3T,AIR TRACTOR AT-402
AT43,Aerospatiale ATR-42-300
AT45,ALENIA Surveyor (ATR-42-500)
AT46,Aerospatiale ATR-42-600
AT5T,AIR TRACTOR AT-503
AT6T,AIR TRACTOR AT-602
AT72,ATR ATR-72
AT8T,AIR TRACTOR Fire Boss
AWH,Bell AB-139
B06,Bell JetRanger
B190,Beechcraft 1900
B350,Beechcraft Super King Air 350
B36T,Beechcraft Bonanza
B407,Bell 407
B427,Bell 427
B429,Bell 429 GlobalRanger
B462,British Aerospace BAe-146-200
B463,British Aerospace BAe-146-300
B505,Bell 505
B58T,BEECH 58P Pressurized Baron
B712,Boeing 717-200
B722,Boeing 727-200
B732,Boeing 737-200
B733,BOEING 737-300
B734,Boeing 737-400
B735,BOEING 737-500
B736,Boeing 737-600
B737,Boeing 737-700
B738,Boeing 737-800
B739,Boeing BBJ3
B744,Boeing 747-400
B748,Boeing 747-8
B752,Boeing 757-200
B753,Boeing 757-300
B762,BOEING 767-200
B763,Boeing 767-300
B764,Boeing 767-400
B772,Boeing 777-200
B773,Boeing 777-300
B77L,Boeing 777-200LR/F
B77W,BOEING 777-300ER
B788,Boeing 787-8
B789,Boeing 787-9
B78X,Boeing 787-10
BCS1,Airbus A220-100
BCS3,Airbus A220-300
BE10,Beechcraft King Air 100
BE17,Beechcraft Staggerwing
BE20,Beechcraft Super King Air 200
BE23,Beechcraft Sundowner
BE24,Beechcraft Sierra
BE30,Beechcraft Super King Air 300
BE33,Beechcraft Bonanza (33)
BE35,Beechcraft 35 Bonanza
BE36,Beechcraft Bonanza (36)
BE40,Beechcraft Beechjet
BE55,Beechcraft 55 Baron
BE58,Beechcraft Baron (58)
BE60,Beechcraft Duke
BE65,Beechcraft Queen Air (65)
BE76,Beechcraft Duchess
BE77,Beechcraft Skipper
BE95,Beechcraft Travel Air
BE99,Beechcraft Airliner
BE9L,Beechcraft King Air 90
BE9T,Beechcraft King Air F90
BL17,BELLANCA Viking
BL8,CHAMPION Decathlon
BLCF,Boeing 747 Large Cargo Freighter
BT36,Beechcraft Bonanza (36) Turbo
C120,Cessna 120
C130,Lockheed C-130 Hercules
C140,Cessna 140
C150,Cessna Commuter
C152,Cessna 152
C162,Cessna Skycatcher
C170,Cessna 170
C172,Cessna Skyhawk
C175,Cessna 175 Skylark
C177,Cessna Cardinal
C180,Cessna Skywagon 180
C182,Cessna Skylane
C185,Cessna Skywagon
C195,Cessna LC-126
C205,Cessna 205
C206,Cessna 206 Stationair
C207,Cessna T207 Turbo Stationair 8
C208,Cessna Caravan
C210,Cessna Centurion
C240,Cessna TTx
C25A,Cessna Citation CJ2+
C25B,Cessna Citation CJ3
C25C,Cessna Citation CJ4
C25M,Cessna Citation M2
C303,Cessna T303 Crusader
C310,Cessna 310
C320,Cessna Executive Skyknight
C337,Cessna Super Skymaster
C340,Cessna 340
C402,Cessna 402
C404,Cessna 404 Titan
C414,Cessna Chancellor
C421,Cessna 421
C425,Cessna Conquest 1
C441,Cessna Conquest 2
C500,Cessna 500 Citation 1
C510,Cessna Citation Mustang
C525,Cessna Citation CJ1
C550,Cessna Citation II
C551,Cessna 551 Citation 2SP
C55B,Cessna Citation Bravo
C560,Cessna Citation V
C56X,Cessna Citation Excel/XLS
C650,Cessna Citation III
C680,Cessna Citation Sovereign
C68A,Cessna Citation Latitude
C72R,Cessna Cutlass RG
C750,Cessna Citation X
C77R,Cessna 177RG Cardinal RG
C82R,Cessna Turbo Skylane RG
C82S,CESSNA T182 Turbo Skylane
CH7A,CHAMPION Tri-Traveler
CH7B,CHAMPION Sky-Trac
CL30,Bombardier Challenger 300
CL35,Canadair Challenger 350
CL60,Canadair Challenger
CNA,Cessna 402
COL3,Cessna 350
COL4,Cessna 400
CRJ,Canadair Regional Jet CRJ-200
CRJ2,Canadair Regional Jet CRJ-200
CRJ7,Canadair Regional Jet CRJ-700
CRJ9,Canadair Regional Jet CRJ-900
CRK,Bombardier CRJ-1000
CVLT,CONVAIR CV-580
D228,Fairchild Dornier 228
DA40,Diamond Star
DA42,Diamond Twin Star
DC10,McDonnell Douglas DC-10
DC3,Douglas DC-3
DC3T,Douglas DC-3 (turbine)
DG15,HOWARD (1) Nightingale
DH8A,de Havilland Dash 8-100
DH8B,de Havilland Dash 8-200
DH8C,de Havilland Dash 8-300
DH8D,de Havilland Dash 8-400
DV20,Diamond DV-20 Katana
E110,Embraer EMB-110 Bandeirante
E120,Embraer EMB-120 Brasilia
E135,Embraer ERJ-135
E145,Embraer ERJ-145
E170,Embraer 170/175
E190,Embraer ERJ-190
E295,EMBRAER ERJ-190-400
E300,Extra EA-300
E35L,Embraer Legacy 600/650
E45X,Embraer EMB-145XR
E50P,Embraer Phenom 100
E545,Embraer Legacy 450
E550,Embraer Legacy 550
E55P,Embraer Phenom 300
E75L,EMBRAER 175 (long wing)
E75S,Embraer ERJ 175
EA50,Eclipse 500
EC20,HARBIN HC-120
EC30,Eurocopter EC-130
EC35,Eurocopter EC-635
EC45,KAWASAKI EC-145
EPIC,Epic Aircraft LT
ERCO,Mooney Aircoupe
EXPR,Experimental
F100,Fokker 100
F2TH,Dassault Falcon 2000
F406,Cessna F406 Vigilant
F900,Dassault Falcon 900
FA10,Dassault Falcon 10
FA20,Dassault Falcon 20
FA50,Dassault Falcon 50
FA7X,Dassault Falcon 7X
FDCT,FLIGHT DESIGN CT
G150,IAI Gulfstream G150
GA5C,Gulfstream Aerospace Gulfstream G-7
GA6C,GULFSTREAM AEROSPACE G-7 Gulfstream G600
GALX,IAI Gulfstream G200
GC1,TEMCO Swift
GL5T,Bombardier Global 5000
GLEX,Bombardier Global Express
GLF3,Gulfstream Aerospace Gulfstream 3
GLF4,Gulfstream Aerospace Gulfstream IV
GLF5,Gulfstream Aerospace Gulfstream V
GLF6,Gulfstream Aerospace Gulfstream G650
H25B,Raytheon Hawker 800
H269,SCHWEIZER 269
H500,RACA 500
H60,Sikorsky S-70
HA4T,Hawker Beechcraft 4000
HDJT,Honda HondaJet
HUSK,CHRISTEN Husky
J3,Piper NE Cub
J328,Fairchild Dornier 328JET
JS32,British Aerospace Jetstream Super 31
JS41,JETSTREAM Jetstream 41
KODI,Quest Kodiak
L410,LET Turbolet
LA4,LAKE LA-200
LJ35,Learjet 35
LJ40,Learjet 40
LJ45,Learjet 45
LJ60,Learjet 60
LJ70,Bombardier Learjet 70
LJ75,Bombardier Learjet 75
LNC4,Lancair Lancair 4
M20P,Mooney M-20
M20T,Mooney M-20 Turbo
M5,MAULE M-5 Strata Rocket
M600,Piper Malibu Meridian
M7,MAULE MT-7-260 Super Rocket
MD11,McDonnell Douglas MD-11
MD82,McDonnell Douglas MD-82
MD83,McDonnell Douglas MD-83
MU2,Mitsubishi MU-2
NAVI,North American Navion
P180,Piaggio P.180 Avanti
P210,Cessna P210 Pressurized Centurion
P212,TECNAM P-2012 Traveller
P28A,Piper Cherokee
P28B,Piper Dakota / Pathfinder
P28R,Piper Cherokee Arrow
P28S,Piper Turbo Arrow 3
P28T,Piper Arrow 4
P28U,Piper Turbo Arrow 4
P3,Lockheed P-3 Orion
P32R,Piper Saratoga/Lance
P32T,Piper Lance 2
P46T,Piper Malibu Meridian
PA12,Piper PA-12 Super Cruiser
PA18,Piper L-21 Super Cub
PA20,Piper PA-20 Pacer
PA22,Piper PA-22 Tri-Pacer
PA23,Piper Apache
PA24,Piper PA-24 Comanche
PA25,Piper PA-25 Pawnee
PA27,Piper Aztec
PA30,Piper PA-30 Twin Comanche
PA31,Piper Navajo
PA32,Piper Saratoga
PA34,Piper Seneca
PA38,Piper Tomahawk
PA44,Piper PA-44 Seminole
PA46,Piper Malibu Mirage
PAY1,Piper Cheyenne
PAY2,Piper Cheyenne 2
PC12,Pilatus PC-12
PC24,Pilatus PC-24
PC6T,Pilatus PC-6B Turbo-Porter
PRM1,Beechcraft Premier 1
PTS2,PITTS Special (S-2)
R22,Robinson R-22
R44,Robinson R-44
R66,Robinson R-66
RV10,VAN'S RV-10
RV12,VAN'S RV-12
RV14,VAN'S RV-14
RV7,VAN'S RV-7
S108,Piper 108 Voyager
S22T,Cirrus SR22 Turbo
S76,Sikorsky S-76
S92,Sikorsky Helibus
SB20,Saab 2000
SF34,Saab 340
SF50,Cirrus Vision SF50
SR20,Cirrus SR-20
SR22,Cirrus SR-22
SS2T,TERR-MAR Turbo Sea Thrush
ST75,Boeing PT-17 Kaydet
SU9,Sukhoi Superjet 100
SW4,Fairchild Dornier SA-227DC Metro
SX30,Swearingen SX-300
T206,Cessna T206 Turbo Stationair
T210,Cessna T210 Turbo Centurion
T38,Northrop T-38 Talon
T6,North American T-6 Texan
TAMP,Socata TB-9 Tampico
TAYB,TAYLORCRAFT (1) BL
TBM7,Socata TBM-700
TBM8,Socata TBM-850
TBM9,Daher-Socata TBM-900
TWEN,TECNAM P-2010 Twenty-Ten
U21,Beechcraft Ute (U-21A/G)
UH1,Bell UH-1V Iroquois
